rank,moki_name,moki_id,score,class,rarity,stat_strength,stat_speed,stat_defense,stat_dexterity,stat_fortitude,image_url,thumbnail_url,category,page,date_scraped
1,Bio Phantom,1235,18935,Defender,Legendary,242.00,317.24,572.24,73.00,100.50,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_5ccd239c22d168a74efc7a770815ccd121a18db3193c7c3280e02ed3dca18b86_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_5ccd239c22d168a74efc7a770815ccd121a18db3193c7c3280e02ed3dca18b86_64x64.png,Champion,1,2026-02-27 07:44 UTC
2,Mr Carrot,984,18875,Defender,Legendary,216.00,299.98,526.13,20.00,23.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_59c1f6bb6507b6fb3663db8d9ee2fe16392e61e884be0fce88a0d8c10bf30ca9_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_59c1f6bb6507b6fb3663db8d9ee2fe16392e61e884be0fce88a0d8c10bf30ca9_64x64.png,Champion,1,2026-02-27 07:44 UTC
3,Low Tier Phenom,1270,18570,Bruiser,Legendary,522.68,27.18,253.15,77.77,210.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_ff56b48d598944cae793b4dd81932e39a45237133dcfbed9b4cdebc7effb9c97_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_ff56b48d598944cae793b4dd81932e39a45237133dcfbed9b4cdebc7effb9c97_64x64.png,Champion,1,2026-02-27 07:44 UTC
4,Golden Purps,1105,18330,Defender,Legendary,254.64,300.67,496.79,50.00,54.62,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_a749c2848939962fbbe248d86b6802886869b061db8b7bd1f6a9a4ad27b2e87a_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_a749c2848939962fbbe248d86b6802886869b061db8b7bd1f6a9a4ad27b2e87a_64x64.png,Champion,1,2026-02-27 07:44 UTC
5,Lil MC Moki,8016,18240,Defender,Legendary,221.00,284.64,537.29,5.00,82.66,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_0cabea8fb4246344665ec4e9cd7984e6ad9e198ea7b94bc975db24ec367dc1ea_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_0cabea8fb4246344665ec4e9cd7984e6ad9e198ea7b94bc975db24ec367dc1ea_64x64.png,Champion,1,2026-02-27 07:44 UTC
6,sweet90s,987,18105,Bruiser,Legendary,615.23,135.56,310.90,60.00,270.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_sweet90s_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_sweet90s_64x64.png,Champion,1,2026-02-27 07:44 UTC
7,Midnight,1029,17870,,,,,,,,,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_de6952f75957cd252af280981b605681b3aa3b63365235331a0ef4b8b0d137ed_64x64.png,Champion,1,2026-02-27 07:44 UTC
8,Mononoku,6820,17850,,,,,,,,,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_9f92a5e17d85902c3c1cde6afe1495bac44a3214f514b25bfb31046065c8b30c_64x64.png,Champion,1,2026-02-27 07:44 UTC
9,Roninku,6777,17710,,,,,,,,,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_Roninku_64x64.png,Champion,1,2026-02-27 07:44 UTC
10,Poo Licker,7021,17635,,,,,,,,,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_efd8ac7ffad48f087d98e77ea193e8719950c00605f1f42f6e07720d209e4aff_64x64.png,Champion,1,2026-02-27 07:44 UTC
11,Sweatin Simmons,4434,17600,,,,,,,,,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_2d65a6af655710b3f1a242ad54c35c424f742a5ca7847ad1d76f5dd81fc15d38_64x64.png,Champion,1,2026-02-27 07:44 UTC
12,Shady,964,17580,Defender,Legendary,219.00,301.59,512.53,26.00,41.14,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_f861748ab2bc1b3348708790641d10b00f0d8cc13f4179483f18757f8e5375ba_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_f861748ab2bc1b3348708790641d10b00f0d8cc13f4179483f18757f8e5375ba_64x64.png,Champion,1,2026-02-27 07:44 UTC
13,PNLS,1418,17560,Defender,Legendary,308.64,301.09,500.22,45.00,42.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_8f1c9f71d6143ee1580973f7d77abb3b0f657b3c9cb5d75fa24854b8d03a820e_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_8f1c9f71d6143ee1580973f7d77abb3b0f657b3c9cb5d75fa24854b8d03a820e_64x64.png,Champion,1,2026-02-27 07:44 UTC
14,SweetPotato,3340,17550,Striker,Legendary,20.00,305.78,19.00,500.56,345.35,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_b4da6a0137c43260393884abf82021f687423a1aacf639d772e9f038c6d7702c_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_b4da6a0137c43260393884abf82021f687423a1aacf639d772e9f038c6d7702c_64x64.png,Champion,1,2026-02-27 07:44 UTC
15,Animo,3624,17500,Striker,Legendary,28.00,330.34,91.00,592.48,243.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_288ef5241f7530f414eee0bee28b180fe90210bb82715ad2e121b66d39cde20b_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_288ef5241f7530f414eee0bee28b180fe90210bb82715ad2e121b66d39cde20b_64x64.png,Champion,1,2026-02-27 07:44 UTC
16,Guppy93Allan,8097,17350,Striker,Legendary,57.00,350.78,47.00,586.64,328.69,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_082d7f805b81cdb3965e55c27bc6233345649d5b95556730f06082c0aeaa4907_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_082d7f805b81cdb3965e55c27bc6233345649d5b95556730f06082c0aeaa4907_64x64.png,Champion,1,2026-02-27 07:44 UTC
17,BIN Diesel,8260,17330,Defender,Legendary,222.00,374.68,460.77,19.00,14.00,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_9c9739877ce8af280b88434b28ae104b4654913de2dabc329d6b3c028c7e0001_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_9c9739877ce8af280b88434b28ae104b4654913de2dabc329d6b3c028c7e0001_64x64.png,Champion,1,2026-02-27 07:44 UTC
18,Miyamoto Musashi,6602,17300,Striker,Legendary,21.00,293.44,12.00,535.96,269.72,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_0c256e07c263f8f354fe8cc2c62c3c021465c81ea345b3416f10c11fdf63b0a8_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_0c256e07c263f8f354fe8cc2c62c3c021465c81ea345b3416f10c11fdf63b0a8_64x64.png,Champion,1,2026-02-27 07:44 UTC
19,Mugsy,5110,17265,Forward,Legendary,298.63,303.97,57.00,376.16,275.44,&quot;https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/profile/moki_610b13742358c44e937cda3cfa946f53abfb23d82e4b65f71cf99df8b88600e1_300x300.png&quot;,https://5rH8sf3XHWbNEbyj.public.blob.vercel-storage.com/thumbnail/moki_610b13742358c44e937cda3cfa946f53abfb23d82e4b65f71cf99df8b88600e1_64x64.png,Champion,1,2026-02-27 07:44 UTC
